51.16852385,10,relu,0.1,10
51.16852385,10,relu,0.1,50
95.70177429,50,relu,0.1,50
96.31951919,100,tanh,0.01,50
96.40294291,50,tanh,0.01,50
96.46133186,50,relu,0.1,10
96.54480431,10,relu,0.01,10
96.56152665,100,tanh,0.01,10
96.6032768,10,tanh,0.1,50
96.72844371,10,tanh,0.01,50
96.74506858,100,relu,0.1,50
96.76185358,50,tanh,0.01,10
96.84530514,50,relu,0.01,10
96.85365935,100,relu,0.1,10
96.86193002,10,relu,0.01,50
96.86197179,100,tanh,0.1,50
96.93709003,100,relu,0.01,50
96.95374972,50,tanh,0.1,50
96.96211089,50,relu,0.01,50
96.97885411,100,relu,0.01,10
97.1790975,100,tanh,0.1,10
97.1874517,10,tanh,0.01,10
97.24579192,10,tanh,0.1,10
97.30424352,50,tanh,0.1,10
